Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0.0,1,1,1,1,1,1,1,1,1,1,1
0.09805555560000201,1.0283,1.01595,1.0201,1.01435,1.01525,1.01705,1.01315,1.01575,1.0172,1.01345,1.0177
0.3308333334000011,0.99045,0.9957,1.00635,1.0075,1.01525,1.0217,1.02035,1.02265,1.01645,1.02125,1.02805
0.6313888889000019,0.98915,0.986,0.99785,1.00885,1.0168,1.0266,1.0261,1.0294,1.0177,1.02385,1.033
0.932500000000001,0.9923,0.9811,1.00065,1.02515,1.0297,1.04145,1.0352,1.0379,1.03355,1.03595,1.04295
1.2330555556,0.9931,0.98065,1.0042,1.0403,1.04845,1.05515,1.0543,1.05295,1.04955,1.0461,1.0587
1.533611111199999,1.0011,0.98245,1.0161,1.06275,1.06825,1.07825,1.0721,1.06755,1.06655,1.0612,1.07385
1.8347222223000017,1.00265,0.98695,1.0322,1.07715,1.08395,1.09425,1.09035,1.0796,1.07755,1.0753,1.0879
2.135833333400001,1.00965,1.00235,1.0493,1.10105,1.09925,1.11815,1.10995,1.09395,1.09425,1.09105,1.09865
2.4375,1.01015,1.0119,1.06395,1.1193,1.1171,1.1338,1.12705,1.10575,1.10895,1.1037,1.10765
2.739166666700001,1.01705,1.0239,1.07965,1.13585,1.14105,1.15625,1.1397,1.1268,1.1259,1.1199,1.12915
3.0419444445000003,1.02815,1.0383,1.10225,1.1624,1.1606,1.1746,1.1581,1.146,1.1445,1.13675,1.1524
3.3441666667000014,1.0334,1.05185,1.1249,1.18535,1.18605,1.19405,1.17595,1.16275,1.16405,1.14785,1.16685
3.6458333334000024,1.04075,1.0723,1.155,1.21725,1.2019,1.2171,1.199,1.18255,1.18525,1.1669,1.1876
3.9486111112000017,1.04325,1.0855,1.17795,1.2341,1.215,1.23415,1.2169,1.2002,1.20065,1.18165,1.1983
4.249166666699999,1.0494,1.11115,1.2075,1.2573,1.2428,1.267,1.23815,1.222,1.2236,1.2045,1.21925
4.551944444500002,1.0506,1.12945,1.229,1.28675,1.2664,1.28895,1.2606,1.23455,1.24335,1.2246,1.23515
4.852499999999999,1.05395,1.14315,1.2512,1.3148,1.28555,1.31165,1.2781,1.2541,1.2608,1.2421,1.2495
5.1541666667,1.06195,1.1647,1.28,1.348,1.3114,1.33545,1.29615,1.2775,1.28305,1.26805,1.26755
5.455833333400001,1.06835,1.17995,1.30305,1.371,1.33325,1.35325,1.3151,1.291,1.3053,1.28605,1.2845
5.756388888900002,1.0719,1.19565,1.32955,1.39915,1.35065,1.374,1.3326,1.3096,1.32505,1.2997,1.30485
6.058611111200001,1.0758,1.21235,1.35395,1.42295,1.371,1.3952,1.3555,1.329,1.3396,1.31875,1.3222
6.3597222223,1.0779,1.22485,1.3722,1.4474,1.39215,1.41435,1.3751,1.3466,1.3584,1.33675,1.33835
6.660833333399999,1.08735,1.24395,1.39595,1.47225,1.4163,1.4321,1.40125,1.36565,1.3771,1.3586,1.3597
6.9619444444999985,1.08855,1.257,1.41995,1.4905,1.43585,1.4575,1.421,1.38155,1.3976,1.3779,1.3792
7.263055555599998,1.0948,1.2753,1.4453,1.5161,1.4612,1.48085,1.44185,1.40295,1.41935,1.39885,1.40435
7.564722222299999,1.10145,1.2962,1.46855,1.5415,1.4846,1.50295,1.46145,1.424,1.44025,1.42365,1.4263
7.865277777800003,1.10995,1.319,1.49675,1.57315,1.5076,1.5283,1.48715,1.4448,1.46165,1.44535,1.45785
8.165833333400002,1.11125,1.33025,1.52275,1.59405,1.5291,1.5511,1.51255,1.46575,1.4764,1.46355,1.48305
8.466944444500001,1.1156,1.34545,1.54255,1.61835,1.55005,1.57345,1.53315,1.4897,1.4955,1.4748,1.50275
8.768611111200002,1.1243,1.36495,1.57405,1.6487,1.56685,1.59995,1.5572,1.51515,1.52085,1.49755,1.526
9.069722222300001,1.1254,1.38155,1.59215,1.6751,1.5887,1.6237,1.5785,1.5365,1.5444,1.5182,1.54625
9.3708333334,1.1312,1.3975,1.62005,1.7089,1.6136,1.64315,1.60125,1.5587,1.56405,1.5408,1.57355
9.6719444445,1.13945,1.41755,1.63465,1.72735,1.634,1.65955,1.62765,1.5806,1.58355,1.56545,1.59105
9.9736111112,1.14135,1.43135,1.66295,1.74975,1.65725,1.67185,1.64735,1.6021,1.6003,1.58245,1.60725
10.274166666699998,1.15365,1.4465,1.68915,1.78315,1.6821,1.6966,1.67265,1.62895,1.63045,1.60745,1.6328
