Time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,Mean
0,1,1,1,1,1,1,1,1,1,1,1,1,1
0.034166667,1.0113,1.0031,1.0061,1.0023,1.0047,1.0047,1.0045,1.0066,1.0022,1.0017,0.999,1.0014,1.003966667
0.223055556,1.0172,1.0066,1.0131,1.0067,1.0123,1.0145,1.0134,1.0149,1.0131,1.0109,1.005,1.0095,1.011433333
0.524166667,1.0115,1.0131,1.0179,1.0128,1.012,1.012,1.0215,1.0241,1.0166,1.0133,1.0153,1.0174,1.015625
0.825277778,1.0232,1.0222,1.0272,1.022,1.0205,1.0168,1.0341,1.0325,1.0304,1.0245,1.0181,1.0283,1.024983333
1.126944445,1.0295,1.0368,1.0456,1.0362,1.0374,1.0301,1.0483,1.0473,1.0438,1.0412,1.0344,1.0396,1.039183333
1.428611111,1.0235,1.0478,1.0565,1.0516,1.0499,1.0439,1.0641,1.0683,1.0599,1.0541,1.0493,1.047,1.051325
1.729166667,1.0299,1.0568,1.0684,1.0657,1.0697,1.063,1.0815,1.0944,1.0796,1.0682,1.0591,1.0602,1.066375
2.030833333,1.0449,1.0649,1.083,1.0813,1.0818,1.0764,1.0987,1.1172,1.089,1.0812,1.0738,1.0696,1.08015
2.3325,1.0491,1.0807,1.0909,1.0919,1.0921,1.0933,1.1091,1.1297,1.0995,1.0947,1.0816,1.0806,1.0911
2.633611111,1.0705,1.098,1.1091,1.1087,1.1047,1.0958,1.1199,1.1444,1.1153,1.11,1.0991,1.0897,1.105433333
2.935277778,1.0711,1.1089,1.1231,1.127,1.1176,1.1098,1.1331,1.1582,1.126,1.1193,1.1117,1.0952,1.11675
3.235833333,1.0728,1.1223,1.1438,1.1387,1.1305,1.1247,1.1509,1.1771,1.1381,1.1407,1.1213,1.1095,1.130866667
3.538055556,1.0837,1.1378,1.1598,1.15,1.1466,1.1408,1.1656,1.1911,1.1534,1.1491,1.1329,1.1231,1.144491667
3.839166667,1.1063,1.1498,1.1773,1.1638,1.1621,1.1559,1.181,1.2023,1.1693,1.1651,1.1536,1.1299,1.1597
4.141388889,1.1263,1.1619,1.1956,1.1759,1.1791,1.1688,1.1979,1.2163,1.1783,1.182,1.167,1.1363,1.173783333
4.441944445,1.1434,1.1757,1.2141,1.1907,1.1983,1.1878,1.2181,1.2415,1.1946,1.1961,1.1783,1.1451,1.190308333
4.743055556,1.1548,1.1892,1.2259,1.2066,1.2096,1.2014,1.2361,1.2585,1.2087,1.2121,1.1876,1.1612,1.204308333
5.044166667,1.1622,1.2066,1.2418,1.2199,1.2315,1.2233,1.2537,1.2728,1.228,1.2301,1.1988,1.1709,1.219966667
5.345833333,1.1653,1.2152,1.261,1.2337,1.2532,1.2415,1.2667,1.2868,1.25,1.2494,1.215,1.1805,1.234858333
5.646944445,1.1807,1.2272,1.2798,1.2542,1.2685,1.2596,1.2805,1.3039,1.2651,1.2661,1.2305,1.1915,1.250633333
5.948055556,1.1479,1.2428,1.298,1.2748,1.2849,1.2719,1.3039,1.3219,1.2753,1.2866,1.2437,1.2033,1.262916667
6.249722222,1.1344,1.2541,1.3157,1.2917,1.3036,1.2846,1.3149,1.3413,1.2951,1.3011,1.2516,1.2093,1.274783333
6.550277778,1.1405,1.2656,1.3349,1.309,1.326,1.3079,1.3377,1.366,1.3151,1.3279,1.2689,1.2276,1.293925
6.851388889,1.1497,1.2748,1.3513,1.326,1.3468,1.325,1.351,1.3819,1.3274,1.3453,1.2803,1.2389,1.3082
7.151944445,1.1532,1.2881,1.3684,1.3441,1.3717,1.3502,1.372,1.3966,1.3513,1.3647,1.2988,1.2537,1.326066667
7.453611111,1.1623,1.3006,1.3866,1.3612,1.3892,1.3645,1.3955,1.4152,1.3642,1.3855,1.3144,1.2644,1.341966667
7.755833333,1.1598,1.3085,1.4047,1.3762,1.4047,1.3853,1.4167,1.4337,1.3864,1.404,1.3278,1.2721,1.356658333
8.0575,1.1644,1.3224,1.4206,1.4009,1.4233,1.4098,1.4379,1.4458,1.409,1.4272,1.3408,1.2836,1.373808333
8.358611111,1.1641,1.3331,1.437,1.4171,1.4397,1.4255,1.4596,1.4676,1.4286,1.4401,1.346,1.2962,1.387883333
8.659166667,1.1748,1.3457,1.4469,1.4378,1.4573,1.4447,1.4829,1.4975,1.4441,1.4642,1.352,1.3033,1.404266667
8.961944445,1.171,1.3629,1.4663,1.4537,1.4776,1.4667,1.5034,1.5212,1.461,1.4854,1.3791,1.3082,1.421375
9.261944445,1.1915,1.3829,1.49,1.4763,1.5094,1.4838,1.5195,1.5436,1.4862,1.5039,1.4011,1.3212,1.44245
9.563611111,1.2156,1.3946,1.5164,1.5021,1.5323,1.5106,1.5426,1.5617,1.5105,1.5346,1.4173,1.3422,1.465041667
9.864722222,1.2276,1.4105,1.5388,1.5146,1.5482,1.5335,1.5538,1.582,1.5244,1.5618,1.4305,1.3519,1.481466667
10.16472222,1.2471,1.4259,1.5621,1.5294,1.5705,1.5582,1.578,1.6092,1.5503,1.5865,1.4393,1.3553,1.500983333
10.46638889,1.2604,1.44,1.5769,1.5516,1.5885,1.5756,1.5989,1.6288,1.5741,1.6005,1.4513,1.3622,1.5174
10.76861111,1.2612,1.4611,1.599,1.5658,1.6163,1.5952,1.6368,1.6547,1.6029,1.6229,1.4722,1.374,1.538508333
11.06972222,1.2807,1.4806,1.6237,1.5854,1.6406,1.6099,1.661,1.6724,1.6199,1.6449,1.4897,1.3907,1.558291667
11.37027778,1.2876,1.4948,1.6463,1.6101,1.665,1.6291,1.6747,1.6875,1.6547,1.6683,1.5142,1.4082,1.578375
11.67138889,1.2869,1.5073,1.6627,1.6271,1.6822,1.637,1.6985,1.7125,1.6782,1.6847,1.5305,1.4259,1.594458333
11.97305556,1.3002,1.5204,1.689,1.6557,1.7001,1.6641,1.7268,1.7431,1.699,1.7084,1.5537,1.4422,1.616891667
14.03583333,1.3757,1.6201,1.8623,1.7829,1.8718,1.8161,1.8794,1.9274,1.838,1.8677,1.7082,1.5198,1.755783333
